theme,approach,fold,wss95,wss95_threshold,roc_auc,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,n,n_errors,mean_latency_s,calibrated_recall,calibrated_precision,calibrated_excluded,calibrated_missed
games,gemma2:2b/few-shot-random,1,-0.050000000000000044,1.0,0.5,0.5333333333333333,1.0,0.36363636363636365,1.0,55,0,4.92,,,,
games,gemma2:2b/few-shot-random,2,-0.050000000000000044,1.0,0.5,0.6969696969696969,1.0,0.5348837209302325,1.0,43,0,4.94,,,,
games,gemma2:2b/few-shot-random,3,-0.050000000000000044,1.0,0.5,0.5454545454545454,1.0,0.375,1.0,40,0,4.55,,,,
games,gemma2:2b/few-shot-similar,1,-0.050000000000000044,1.0,0.5,0.5333333333333333,1.0,0.36363636363636365,1.0,55,0,4.91,,,,
games,gemma2:2b/few-shot-similar,2,-0.050000000000000044,1.0,0.5,0.6969696969696969,1.0,0.5348837209302325,1.0,43,0,4.98,,,,
games,gemma2:2b/few-shot-similar,3,-0.050000000000000044,1.0,0.5,0.5454545454545454,1.0,0.375,1.0,40,0,5.03,,,,
games,gemma2:2b/zero-shot,1,0.004545454545454498,5.0,0.5428571428571429,0.5555555555555556,5.0,0.38461538461538464,1.0,55,0,3.74,,,,
games,gemma2:2b/zero-shot,2,-0.050000000000000044,1.0,0.5,0.6969696969696969,1.0,0.5348837209302325,1.0,43,0,3.56,,,,
games,gemma2:2b/zero-shot,3,-0.050000000000000044,1.0,0.5266666666666666,0.5490196078431373,3.0,0.3888888888888889,0.9333333333333333,40,0,3.63,,,,
games,llama3.2:3b/few-shot-random,1,-0.050000000000000044,1.0,0.5,0.5333333333333333,1.0,0.36363636363636365,1.0,55,0,3.89,,,,
games,llama3.2:3b/few-shot-random,2,-0.050000000000000044,1.0,0.5,0.6969696969696969,1.0,0.5348837209302325,1.0,43,0,3.69,,,,
games,llama3.2:3b/few-shot-random,3,-0.025000000000000043,5.0,0.52,0.5555555555555556,5.0,0.38461538461538464,1.0,40,0,3.87,,,,
games,llama3.2:3b/few-shot-similar,1,-0.031818181818181863,5.0,0.5142857142857142,0.5405405405405406,5.0,0.37037037037037035,1.0,55,0,5.52,,,,
games,llama3.2:3b/few-shot-similar,2,-0.026744186046511673,5.0,0.525,0.7076923076923077,5.0,0.5476190476190477,1.0,43,0,5.32,,,,
games,llama3.2:3b/few-shot-similar,3,-0.025000000000000043,5.0,0.52,0.5555555555555556,5.0,0.38461538461538464,1.0,40,0,5.35,,,,
games,llama3.2:3b/zero-shot,1,-0.031818181818181863,3.0,0.5928571428571429,0.5454545454545454,5.0,0.42857142857142855,0.75,55,0,3.83,,,,
games,llama3.2:3b/zero-shot,2,-0.003488372093023301,3.0,0.5021739130434782,0.71875,3.0,0.5609756097560976,1.0,43,0,3.54,,,,
games,llama3.2:3b/zero-shot,3,-0.050000000000000044,1.0,0.6920000000000001,0.6666666666666667,5.0,0.5185185185185185,0.9333333333333333,40,0,3.53,,,,
games,qwen2.5:3b/few-shot-random,1,-0.050000000000000044,1.0,0.49785714285714283,0.5333333333333333,1.0,0.36363636363636365,1.0,55,0,3.59,,,,
games,qwen2.5:3b/few-shot-random,2,-0.026744186046511673,4.0,0.5728260869565217,0.7076923076923077,4.0,0.5476190476190477,1.0,43,0,3.48,,,,
games,qwen2.5:3b/few-shot-random,3,-0.025000000000000043,4.0,0.532,0.5555555555555556,4.0,0.38461538461538464,1.0,40,0,3.68,,,,
